ServTransCode,ServTransDate,Items,NameOfServ,qty,profit
SRV001912080003,08/12/2019,Oli Mesin Matic,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912080003,08/12/2019,Grease Cvt,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912080003,08/12/2019,Handel Variasi,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912080003,08/12/2019,Air Radiator,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912120004,12/12/2019,Oli Gardan,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912120004,12/12/2019,Oli Mesin Matic,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912120004,12/12/2019,Kampas Rem Belakang,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912130003,13/12/2019,Busi,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912130003,13/12/2019,Filter Udara,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912130003,13/12/2019,Filter Fuel Pump,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912230002,23/12/2019,Cangklong Busi,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912230002,23/12/2019,Filter Udara,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912280002,28/12/2019,Oli Mesin Matic,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912280002,28/12/2019,Grease Cvt,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912280002,28/12/2019,Minuman,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912300005,30/12/2019,Seal Pully Belakang,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912300005,30/12/2019,Oli Gardan,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912300005,30/12/2019,Oli Mesin Matic,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912300005,30/12/2019,Baut,SERVICE INJEKSI MANUAL BEBEK/MATIC,3,0
SRV001912300005,30/12/2019,Seal Pully Depan,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912300005,30/12/2019,Grease Cvt,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912300005,30/12/2019,Bearing Cvt,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912310007,31/12/2019,Oli Mesin Matic,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912310008,31/12/2019,Air Radiator,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912310008,31/12/2019,Oli Gardan,SERVICE INJEKSI MANUAL BEBEK/MATIC,2,0
SRV001912310008,31/12/2019,Oli Mesin Matic,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912310008,31/12/2019,Busi,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912310008,31/12/2019,Baut,SERVICE INJEKSI MANUAL BEBEK/MATIC,3,0
SRV001912310008,31/12/2019,Ring 10,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV001912310008,31/12/2019,Baut,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912010008,01/12/2019,Oli Mesin Matic,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912010008,01/12/2019,Minuman,SERVICE INJEKSI MANUAL BEBEK/MATIC,2,0
SRV011912030010,03/12/2019,Oli Mesin Bebek/Sport,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912030010,03/12/2019,Mika Lampu Depan,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912030010,03/12/2019,Spi Plastik Tameng Kecil,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912030010,03/12/2019,Spakbor Depan,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912060001,06/12/2019,Oli Gardan,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912060001,06/12/2019,Oli Mesin Matic,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912060001,06/12/2019,Roller,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912060001,06/12/2019,Grease Cvt,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912060001,06/12/2019,Seal Pully Depan,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912060001,06/12/2019,Bearing Cvt,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912060001,06/12/2019,Rumah Roller,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912060001,06/12/2019,Filter Udara,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912070027,07/12/2019,Oli Mesin Matic,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912070029,07/12/2019,Oli Mesin Matic,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912080017,08/12/2019,Oli Mesin Matic,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912080017,08/12/2019,Roller,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912080017,08/12/2019,Grease Cvt,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912080017,08/12/2019,Karet Rumah Roller,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912080017,08/12/2019,Bohlam Sen,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912080017,08/12/2019,Oli Gardan,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912130016,13/12/2019,Grease Cvt,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912130016,13/12/2019,Ring 12,SERVICE INJEKSI MANUAL BEBEK/MATIC,2,0
SRV011912130016,13/12/2019,Spi Plastik Tameng Kecil,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912130016,13/12/2019,Filter Udara,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912140015,14/12/2019,Aki,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912140015,14/12/2019,Busi,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912160010,16/12/2019,Oli Mesin Bebek/Sport,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912200013,20/12/2019,Oli Gardan,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912200013,20/12/2019,Oli Mesin Matic,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912200013,20/12/2019,Kampas Rem Belakang,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912200013,20/12/2019,Filter Udara,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912230004,23/12/2019,Roller,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912230004,23/12/2019,V-Belt,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912230021,23/12/2019,Filter Udara,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912260006,26/12/2019,Oli Gardan,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912260006,26/12/2019,Oli Mesin Matic,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
SRV011912260006,26/12/2019,Roller,SERVICE INJEKSI MANUAL BEBEK/MATIC,1,0
